Component,individualID,climbID,microchipID,birthID,matingID,individualIdSource,materialOrigin,sex,species,generation,dateBirth,ageDeath,ageDeathUnits,brainWeight,rodentWeight,rodentDiet,bedding,room,waterpH,treatmentDose,treatmentType,stockNumber,genotype,genotypeBackground,individualCommonGenotype,modelSystemName,officialName
IndividualAnimalMODEL-ADMetadataTemplate,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3120,4005,,B-33-19,147811,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
,3119,4004,,B-33-19,147811,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
,3116,4001,,B-32-19,147819,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
,3115,4000,,B-32-19,147819,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
,3114,3999,,B-32-19,147819,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
,3111,3992,,B-31-19,147830,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/25/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
,3117,4002,,B-33-19,147811,UCI_TMF,UCI_TMF,male,Mouse ,N1,1/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
,3113,3998,,B-32-19,147819,UCI_TMF,UCI_TMF,male,Mouse ,N1,1/26/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
,3109,3990,,B-31-19,147830,UCI_TMF,UCI_TMF,male,Mouse ,N1,1/25/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
,3104,3985,,B-30-19,147831,UCI_TMF,UCI_TMF,male,Mouse ,N1,1/25/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
,3103,3984,,B-30-19,147831,UCI_TMF,UCI_TMF,male,Mouse ,N1,1/25/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
,3075,3944,,B-26-19,147811,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/21/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
,3076,3945,,B-26-19,147811,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/21/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
,3077,3946,,B-26-19,147811,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/21/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
,3079,3948,,B-26-19,147811,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/21/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC037F1,B6JCC037F1.5XFAD,,
