individualID,climbID,microchipID,birthID,matingID,individualIdSource,materialOrigin,sex,species,generation,dateBirth,ageDeath,ageDeathUnits,brainWeight,rodentWeight,rodentDiet,bedding,room,waterpH,treatmentDose,treatmentType,stockNumber,genotype,genotypeBackground,individualCommonGenotype,modelSystemName,officialName
10351,11937,,B-648-20,231286,UCI_TMF,UCI_TMF,male,Mouse,F2,8/10/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
10352,11938,,B-648-20,231286,UCI_TMF,UCI_TMF,male,Mouse,F2,8/10/20,4,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
12287,14147,,B-1033-20,272377,UCI_TMF,UCI_TMF,male,Mouse,F1,12/24/20,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
12212,14072,,B-1015-20,272307,UCI_TMF,UCI_TMF,female,Mouse,N2,12/17/20,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
12211,14071,,B-1015-20,272307,UCI_TMF,UCI_TMF,female,Mouse,N2,12/17/20,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
12209,14069,,B-1015-20,272307,UCI_TMF,UCI_TMF,female,Mouse,N2,12/17/20,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
12208,14068,,B-1015-20,272307,UCI_TMF,UCI_TMF,male,Mouse,N2,12/17/20,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
12207,14067,,B-1015-20,272307,UCI_TMF,UCI_TMF,male,Mouse,N2,12/17/20,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
12206,14066,,B-1015-20,272307,UCI_TMF,UCI_TMF,male,Mouse,N2,12/17/20,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
12149,14009,,B-1005-20,272308,UCI_TMF,UCI_TMF,female,Mouse,N2,12/13/20,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
12148,14008,,B-1005-20,272308,UCI_TMF,UCI_TMF,male,Mouse,N2,12/13/20,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
12143,14003,,B-994-20,264709,UCI_TMF,UCI_TMF,female,Mouse,N2,12/15/20,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
12142,14002,,B-994-20,264709,UCI_TMF,UCI_TMF,female,Mouse,N2,12/15/20,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
12141,14001,,B-994-20,264709,UCI_TMF,UCI_TMF,female,Mouse,N2,12/15/20,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
12140,14000,,B-994-20,264709,UCI_TMF,UCI_TMF,female,Mouse,N2,12/15/20,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
12139,13999,,B-994-20,264709,UCI_TMF,UCI_TMF,female,Mouse,N2,12/11/20,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
12138,13998,,B-994-20,264709,UCI_TMF,UCI_TMF,female,Mouse,N2,12/11/20,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
12136,13996,,B-994-20,264709,UCI_TMF,UCI_TMF,male,Mouse,N2,12/11/20,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
12135,13995,,B-994-20,264709,UCI_TMF,UCI_TMF,male,Mouse,N2,12/11/20,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
12134,13994,,B-994-20,264709,UCI_TMF,UCI_TMF,male,Mouse,N2,12/11/20,12,months,,,7% standard,,,,,,,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
12133,13993,,B-994-20,264709,UCI_TMF,UCI_TMF,male,Mouse,N2,12/11/20,12,months,,,7% standard,,,,,,,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
12091,13951,,B-997-20,I-506/507,UCI_TMF,UCI_TMF,male,Mouse,F3,12/10/20,12,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
12090,13950,,B-997-20,I-506/507,UCI_TMF,UCI_TMF,male,Mouse,F3,12/10/20,12,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
